Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""340""","""Honduras""","""NUM_U5_M""","""<5Y""","""G""",,12.73324,,,,,14.01022,,,,,,13.3684,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""356""","""India""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,26011.77096,,,,,,,,18510.80521,25240.12436,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""360""","""Indonesia""","""NUM_U5_M""","""<5Y""","""G""",1171.89683,1161.54605,,,3223.77667,,,3422.11609,,,2926.54859,,,3273.67008,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""364""","""Iran (Islamic Republic of)""","""NUM_U5_M""","""<5Y""","""G""",,,,,267.76987,,,,,,,265.21588,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""368""","""Iraq""","""NUM_U5_M""","""<5Y""","""G""",253.47433,,,229.3228,287.11521,,249.86134,,,,,325.9874,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""388""","""Jamaica""","""NUM_U5_M""","""<5Y""","""G""",8.75351,9.16039,6.59512,,11.97074,,9.15048,6.46623,5.99466,,11.4522,,6.58684,,7.52175,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""392""","""Japan""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,127.75569,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""400""","""Jordan""","""NUM_U5_M""","""<5Y""","""G""",,,18.76301,,,,,,,14.39962,,,26.25742,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""398""","""Kazakhstan""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,64.15859,,,,65.20984,,,,,61.71914,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""404""","""Kenya""","""NUM_U5_M""","""<5Y""","""G""",400.77233,,,366.39902,,422.39265,,,,458.88283,,,,,290.3431,,,,
